,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_disposition
7687,11.702203927,139.4312652,2.75173,28999.0,57.95,560.24,1240.0,6148.0,3.793,2.133,284.46127,41.56179,13.393,FALSE POSITIVE
7688,3.722775537,136.515472,14.3309,107590.0,90.36,2125.53,1731.0,5425.0,3.678,2.592,291.98026,41.559422,12.746,FALSE POSITIVE
7689,8.144135648,136.5054788,8.88876,87881.0,56.52,1169.67,1491.0,7605.0,4.123,1.862,296.15887,41.516541,13.96,FALSE POSITIVE
7690,0.566795196,131.80925,2.18,14.8,0.35,4277.24,2066.0,5680.0,4.516,0.908,290.98767,42.53167,12.818,FALSE POSITIVE
7691,0.566798827,131.81946,3.662,34.9,0.52,4154.8,2045.0,5548.0,4.473,0.889,291.18863,42.59071,13.656,FALSE POSITIVE
7692,0.56678012,131.8499,3.257,27.6,0.49,4352.1,2073.0,5674.0,4.506,0.911,291.20343,42.526718,14.311,FALSE POSITIVE
7693,0.56679293,131.83103,3.814,101.1,0.86,4264.42,2064.0,5812.0,4.551,0.853,291.27606,42.593521,15.787,FALSE POSITIVE
7694,0.566799218,131.81553,4.227,18.2,0.79,23364.03,3153.0,6108.0,3.893,1.753,291.3367,42.53442,11.983,FALSE POSITIVE
7695,22.2548897,142.2563,13.454,83.8,2.16,154.4,899.0,5349.0,3.76,2.388,282.67258,43.788311,14.156,CANDIDATE
7696,4.719336335,133.514832,2.83787,12367.0,91.91,2078.32,1722.0,6792.0,3.971,2.058,284.56271,43.774261,12.672,FALSE POSITIVE
7697,8.966610607,138.5745618,4.01883,59618.0,56.94,274.04,1038.0,6480.0,4.351,1.132,288.32407,43.763329,13.478,FALSE POSITIVE
7698,6.767341062,135.2655184,4.49213,244950.0,52.84,178.98,933.0,5926.0,4.513,0.843,291.99203,43.7668,14.143,FALSE POSITIVE
7699,1.92730001,132.36067,18.812,6177.1,45.99,1605.97,1614.0,6057.0,4.352,1.11,294.27921,43.719849,13.943,CANDIDATE
7700,48.79936881,160.196299,8.80873,324550.0,67.36,17.9,525.0,6170.0,4.472,0.992,285.28397,44.76915,15.05,FALSE POSITIVE
7701,1.01485981,131.6159,1.65,243.0,1.61,3274.72,1928.0,6158.0,4.453,1.024,286.91599,44.704529,15.572,CANDIDATE
7702,4.059428737,133.1885651,5.26926,245220.0,67.38,1059.83,1455.0,6610.0,4.281,1.33,290.42838,44.787331,13.374,FALSE POSITIVE
7703,15.3902613,140.8602,3.431,76.8,4.39,1069.24,1459.0,5649.0,3.282,4.994,291.79575,44.746181,13.808,CANDIDATE
7704,26.8552365,146.688,2.185,194.2,1.49,34.48,618.0,6045.0,4.494,0.955,290.75494,44.851589,14.958,CANDIDATE
7705,1.287097944,132.37957,1.94,106.1,0.89,1678.58,1631.0,5906.0,4.494,0.852,295.59369,46.269711,15.506,FALSE POSITIVE
7706,3.5565617,133.522,6.691,68.0,0.52,143.89,883.0,4964.0,4.628,0.633,297.09915,46.243511,15.191,FALSE POSITIVE
7707,3.55646511,133.5549,4.72,46.1,0.56,317.0,1076.0,5475.0,4.479,0.818,297.12708,46.282082,14.609,FALSE POSITIVE
7708,2.3518268,134.352,5.797,576.6,39.82,1313.37,1535.0,5445.0,4.14,1.426,284.69968,46.375092,14.106,CANDIDATE
7709,2.35195525,131.9168815,5.98883,212830.0,59.62,1876.0,1678.0,6550.0,4.324,1.225,284.70453,46.378799,12.23,FALSE POSITIVE
7710,3.57944367,133.46198,1.869,117.2,0.87,253.89,1018.0,5341.0,4.546,0.801,286.85812,46.311729,15.56,CANDIDATE
7711,5.682410334,133.6376552,5.33373,220420.0,72.9,401.43,1141.0,5897.0,4.278,1.196,298.75854,47.69558,14.3,FALSE POSITIVE
7712,2.199069234,133.0633498,6.30646,225250.0,118.99,4632.97,2104.0,6613.0,4.014,1.925,298.77716,47.655403,13.245,FALSE POSITIVE
7713,1.481655821,132.699429,3.4913,59134.0,59.19,3314.58,1935.0,6478.0,4.307,1.174,292.15167,47.719501,13.873,FALSE POSITIVE
7714,0.93370968,131.5714,3.356,62.2,0.38,131.85,865.0,3615.0,4.839,0.42,292.1669,47.755638,15.431,FALSE POSITIVE
7715,1.388509353,131.786298,2.84811,37638.0,52.43,2679.88,1836.0,6075.0,4.315,1.13,296.57245,47.752708,12.309,FALSE POSITIVE
7716,10.368552685,132.718439,4.37878,153230.0,61.14,120.48,845.0,5855.0,4.418,0.944,296.0968,49.643829,14.545,FALSE POSITIVE
7717,7.20558084,138.3055,2.997,58.0,1.33,582.45,1253.0,6002.0,4.025,1.693,284.95026,49.747147,13.553,CANDIDATE
7718,13.8602646,139.4033,74.26,481.1,19.71,53.56,690.0,5667.0,4.535,0.796,285.33289,49.734112,14.756,FALSE POSITIVE
7719,392.50115,498.8298,9.88,391.2,1.9,0.6,225.0,5128.0,4.388,0.988,296.53479,49.785851,13.87,CANDIDATE
7720,6.882686062,134.052302,5.47323,373660.0,60.49,169.85,921.0,5704.0,4.483,0.948,286.91037,49.815781,15.749,FALSE POSITIVE
7721,1.407937865,132.26921,1.585,50793.0,19.09,457.02,1179.0,4627.0,4.564,0.741,288.51208,49.864231,14.614,FALSE POSITIVE
7722,1.89117723,132.7285,6.986,176.2,164.49,36995.02,3536.0,5086.0,2.66,6.86,290.35684,37.938759,15.003,FALSE POSITIVE
7723,52.884577,147.01058,7.892,11969.0,48.13,22.44,555.0,6483.0,4.42,1.078,290.40158,37.942009,15.694,FALSE POSITIVE
7724,1.429439352,132.74659,2.424,3367.1,54.36,4417.56,2079.0,6491.0,4.223,1.371,291.01422,37.969711,12.335,FALSE POSITIVE
7725,2.821328194,131.680097,5.02692,64776.0,40.0,2520.03,1807.0,6701.0,4.121,1.506,293.0361,37.954739,13.116,FALSE POSITIVE
7726,11.961308501,131.9131819,4.6414,310680.0,51.58,55.37,696.0,5564.0,4.587,0.785,291.46603,38.005039,15.308,FALSE POSITIVE
7727,0.572079631,132.0189884,2.27811,127790.0,29.45,2036.56,1716.0,5233.0,4.625,0.639,296.45972,39.573738,14.235,FALSE POSITIVE
7728,0.822314545,131.7125281,3.3374,32.7,0.54,3227.02,1922.0,5709.0,4.409,0.938,297.55054,39.565659,13.23,FALSE POSITIVE
7729,31.005392846,150.8616525,3.073,560310.0,141.82,51.25,682.0,5023.0,3.9,1.784,284.04434,39.661469,14.991,FALSE POSITIVE
7730,521.10826,189.5977,18.36,244.7,1.5,0.68,231.0,5942.0,4.432,0.947,293.23929,39.691681,14.163,CANDIDATE
7731,41.3701638,166.1673,29.254,6907.1,59.95,389.15,1133.0,4764.0,2.777,6.883,293.86234,39.690128,12.799,FALSE POSITIVE
7732,631.632,239.8779,16.13,295.1,1.56,0.38,201.0,5689.0,4.493,0.894,295.34366,39.609322,14.358,FALSE POSITIVE
7733,0.756511623,131.9298652,2.81832,41596.0,77.4,9947.96,2549.0,6343.0,4.199,1.417,298.71249,40.341228,13.448,FALSE POSITIVE
7734,10.845286549,138.334343,4.3876,7473.8,319.52,1893.11,1682.0,5096.0,3.094,7.023,298.99789,40.314751,12.923,FALSE POSITIVE
7735,32.45541269,137.607894,7.3736,136390.0,23.48,5.55,392.0,4869.0,4.71,0.543,284.69308,40.498619,15.208,FALSE POSITIVE
7736,5.917085496,132.900327,23.7545,563290.0,75.86,241.42,1005.0,5661.0,4.383,0.987,289.34967,40.497189,14.352,FALSE POSITIVE
7737,0.5402463,131.5521,13.93,1148.0,6.2,26335.17,3249.0,7296.0,4.249,1.498,290.79919,40.41156,13.681,FALSE POSITIVE
7738,4.200206781,134.6578,5.21948,82364.0,105.07,2150.58,1737.0,6873.0,4.051,1.923,298.06311,41.510712,12.843,FALSE POSITIVE
7739,6.091954982,137.5877592,3.60482,36700.0,26.96,272.7,1036.0,6063.0,4.424,0.913,298.62177,41.567429,14.847,FALSE POSITIVE
7740,485.52409,307.5674,11.04,4147.0,6149.09,0.31,191.0,5227.0,4.584,0.8,290.07434,41.668598,14.425,FALSE POSITIVE
7741,0.76647343,132.034804,2.46345,199900.0,42.33,1654.36,1628.0,5297.0,4.594,0.722,291.1915,41.66721,15.572,FALSE POSITIVE
7742,5.2436639,132.6741,10.53,93.5,0.88,296.41,1059.0,6212.0,4.537,0.862,291.92285,41.624439,15.789,FALSE POSITIVE
7743,0.56678702,131.849,3.074,7.5,0.27,7279.54,2356.0,6045.0,4.375,0.999,291.58624,42.50993,11.786,FALSE POSITIVE
7744,2.19642864,133.4945,4.933,99.5,0.79,477.24,1193.0,5376.0,4.576,0.806,291.83594,42.564838,15.811,FALSE POSITIVE
7745,2.19635512,133.515028,9.65516,266550.0,82.04,2448.43,1793.0,6438.0,4.182,1.273,291.84366,42.558521,13.685,FALSE POSITIVE
7746,26.718417546,138.0518033,8.14155,72976.0,66.69,65.88,727.0,5957.0,4.168,1.286,296.12494,42.522102,13.144,FALSE POSITIVE
7747,0.615787196,131.71405,3.067,110.6,3.5,53910.99,3886.0,6315.0,3.603,3.075,296.41483,42.587559,13.921,FALSE POSITIVE
7748,548.08441,367.3828,17.66,560.0,2.35,0.58,222.0,5780.0,4.438,1.0,280.96588,42.623707,9.233,FALSE POSITIVE
