,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,ra,dec,tfopwg_disp
1565,1.4408228,1.7457036,4470.5580829,9.7835563,2629.0467231,1826.288253,5941.2,4.3,1.16489,11.0675,320.524083,-27.554409,APC
1566,3.0958985,1.8584684,10354.9916952,19.2443952,1246.3528431,1515.409487,6764.0,4.3,1.25844,12.0516,335.53692,-30.763927,APC
1567,4.0802864,8.4494541,6007.8703021,11.625865,49.504685,676.5210666,5635.75,4.12397,1.43565,11.8831,255.328342,51.529396,FP
1568,4.0802864,4.6833042,2749.2099367,6.5071192,9.1909015,444.0780191,4968.0,4.438,0.844548,8.6512,262.589332,40.369465,APC
1569,4.0802864,6.1120058,855.5836036,4.1844083,0.9694479,253.0759438,6329.0,4.24509,1.39619,8.40302,253.784885,20.491524,CP
1570,11.6207544,5.6290584,486.0090375,3.207554,239.281495,1003.1064616,6329.0,4.24509,1.39619,8.40302,253.784885,20.491524,KP
1571,1.3382314,2.1560676,27137.0920051,14.8542602,1188.6218545,1497.5477444,5436.0,4.46024,0.894974,11.8295,353.562915,-42.061779,KP
1572,4.0802864,4.4875335,4111.2234826,18.0,82.7545001,769.2502648,5879.0,4.28122,1.23623,9.85317,247.657124,56.399869,FP
1573,716.3497402,3.612,867.0,2.90826,0.0174179,101.0,5645.84,4.46148,0.97,9.84325,196.736409,16.54934,PC
1574,20.2254946,2.2719961,712.14897,1.9090249,10.4016117,458.0310383,4465.0,4.6,0.697547,10.0534,116.973103,-71.001967,PC
1575,11.3071786,2.824,264.0,1.02968,18.9311,581.0,4465.0,4.6,0.7,10.0534,116.973103,-71.001967,PC
1576,0.98656,0.724,390.0,3.78687,574.294,1363.0,5522.0,3.99,1.64,10.3338,352.192845,-76.636896,FP
1577,1.0361758,2.93,348.0,2.62395,18869.1,3265.0,6413.0,4.2,1.5,9.14425,337.887071,-23.16505,PC
1578,4.26991,1.509,2240.0,8.95578,667.336,1415.0,6580.0,4.16,1.62,9.5103,343.544632,-36.287777,APC
1579,58.9970907,5.722,2725.0,10.5098,365.719,1185.0,5801.0,4.33,1.23369,9.456,350.491313,-40.174352,PC
1580,82.7899763,5.8475847,1017.8544172,3.1369358,6.459129,406.5961278,6115.0,4.5616,0.957772,9.4088,103.422149,-73.075713,PC
1581,17.1019622,3.357,11430.0,10.1067,20.0982,589.0,5302.3,4.4,0.93,11.584,31.690742,-81.247376,PC
1582,6.5346715,3.304,6370.0,10.7773,121.853,925.0,5424.0,3.35,1.33,11.7944,94.278691,-52.338502,PC
1583,11.6700285,2.0534143,2783.7905216,2.0205499,4.0210338,361.1637726,3644.0,4.79912,0.380272,11.3018,343.708612,-18.912445,PC
1584,7.2011383,2.1444681,1662.8398306,1.7056002,7.6541813,424.2232195,3644.0,4.79912,0.380272,11.3018,343.708612,-18.912445,PC
1585,2.2088214,2.544,7770.0,11.6656,1052.08,1586.0,5960.4,4.27,1.26,11.8699,172.858645,-41.689518,KP
1586,4.7150942,2.436,7460.0,7.48939,118.46,919.0,3798.0,4.67,0.57,13.3666,62.671535,-32.99244,PC
1587,7.4972297,3.589,14480.0,11.9137,143.814,964.0,5596.2,4.43,1.0,12.2015,139.741548,-15.30808,PC
1588,14.2197641,6.416,2390.0,8.78678,215.552,1067.0,6115.0,3.97,1.83,12.3462,54.221383,-60.061476,PC
1589,7.9980831,3.047,3960.0,10.9403,97.3629,875.0,5556.0,3.97,1.7,12.1385,49.154193,-48.107918,PC
