,orbital_period,transit_duration,transit_depth,planet_radius,insolation_flux,equilibrium_temperature,stellar_teff,stellar_logg,stellar_radius,stellar_mag,ra,dec,target
8906,8.9299483,3.2002668,26516.4016202,12.6566078,36.0859625,625.1069435,4379.0,4.49,0.777586,12.2257,72.799607,50.097926,CANDIDATE
8907,2.4156482,2.837,3550.0,10.5098,1169.2,1629.0,5727.0,4.3,1.23369,12.6562,117.867565,-72.285046,CANDIDATE
8908,101.1107014,8.029,878.1,1.61,0.65,229.0,4133.0,4.705,0.561,15.134,285.34995,41.452209,CONFIRMED
8909,3.7634028,2.5259027,140.4352916,2.4144238,2109.4342142,1728.4676115,6491.0,4.00559,1.89742,9.1007,127.832228,-68.0239,CANDIDATE
8910,1.5554236,1.916,18149.0,13.1166,711.089,1438.0,5318.0,4.39,1.01,13.2049,341.866559,52.395133,CANDIDATE
8911,2.858879267,2.3753,644.5,515.07,41379.77,3638.0,4893.0,2.501,16.274,12.529,291.01529,37.96777,FALSE POSITIVE
8912,3.578757,3.1806502,11391.7385882,12.1416042,445.8323379,1171.9596007,5482.59,4.36922,1.06062,13.4231,289.607943,44.345435,CANDIDATE
8913,127.8334997,10.914,1829.9,9.46,22.21,554.0,6505.0,3.973,2.17,13.968,291.02014,39.22068,CONFIRMED
8914,1.319677953,1.978,100.7,1.13,2729.71,1843.0,6306.0,4.426,1.076,14.332,298.34653,40.13979,FALSE POSITIVE
8915,0.780632043,1.4109,736.5,79.67,12837.08,2714.0,5354.0,3.754,2.18,13.331,281.57571,43.068111,FALSE POSITIVE
8916,3.4847528,0.7171813,11341.7404476,3.1137986,9.5034189,447.8058034,3204.0,4.93668,0.290216,13.0275,63.273935,15.247703,CANDIDATE
8917,6.8834027,1.92,771.0,2.87691,87.7838,852.0,6133.77,4.32058,1.23,10.4081,284.635189,40.71983,CANDIDATE
8918,2.8668029,1.879,7280.0,10.5098,155.045,983.0,4871.9,4.33,1.23369,13.4062,278.804934,73.599493,CANDIDATE
8919,2.73398963,1.52,421.1,2.39,25373.9,878.0,5767.0,4.438,1.0,11.727,294.62296,46.826469,FALSE POSITIVE
8920,0.566769068,3.011,40.0,1.06,11897.94,2661.0,5496.0,3.998,1.533,14.447,291.0571,42.583359,FALSE POSITIVE
8921,7.61758198,3.545,85.4,1.0,255.32,1020.0,6202.0,4.401,1.072,14.11,291.40781,48.017891,CONFIRMED
8922,19.9253903,7.1580751,4510.2840364,10.8355197,143.5992933,882.8924951,6213.0,4.11609,1.58437,10.6594,12.9724,57.364237,CANDIDATE
8923,12.9175271,4.46,4615.0,9.95556,69.9889,805.0,5501.0,4.17,1.34,12.2607,91.856826,-51.896853,CANDIDATE
8924,8.9172863,4.468,196.3,1.39,177.84,931.0,6210.0,4.467,0.986,14.671,296.896,48.04726,CANDIDATE
8925,14.32407216,4.6577,2053.9,38.86,88.38,782.0,6022.0,4.453,1.039,15.609,294.58929,41.944382,FALSE POSITIVE
8926,8.31224474,2.663,70.8,10.63,97.64,801.0,5421.0,4.483,0.816,13.019,295.37476,43.500431,CANDIDATE
8927,4.09667624,2.19,302.3,1.42,182.9,938.0,4999.0,4.49,0.843,15.692,292.14447,47.157349,CANDIDATE
8928,7.151653,1.193,11740.0,22.4773,44.731,720.0,5635.0,4.32,1.14,12.7858,90.272905,-2.287897,CANDIDATE
8929,13.0914878,2.037,37.5,0.79,149.52,892.0,5919.0,4.238,1.288,11.993,289.24884,39.106541,CANDIDATE
8930,5.07437786,5.942,605.7,23.71,244.04,1008.0,5661.0,4.48,0.919,13.842,295.19562,42.417068,FALSE POSITIVE
8931,1.99492332,5.898,77.7,0.94,1044.18,1451.0,5957.0,4.498,0.971,15.634,291.85974,42.348701,FALSE POSITIVE
8932,3.3024845,1.465,1241.0,1.73871,26.3567,631.0,3634.0,4.75,0.49,11.8272,1.512156,-58.935221,CANDIDATE
8933,8.710442022,0.9425,1196.4,3.61,78.75,760.0,5416.0,4.575,0.809,14.816,296.62347,49.979172,CANDIDATE
8934,3.7079439,2.259,7740.0,8.08217,203.091,1051.0,5265.0,4.5,0.89,13.3526,12.072754,6.918223,CANDIDATE
